nombre_articulo,precio,calificacion_promedio,cantidad_calificaciones,descripcion,enlace_articulo
Micrófono Vocal Shure Pga58-xlr Dinámico Cardioide,374200,5.0,5,,https://articulo.mercadolibre.com.co/mco-619584757-microfono-vocal-shure-pga58-xlr-dinamico-cardioide-_jm?searchvariation=83416128802
Kit De 2 Micrófonos Shure Sv200 Vocal Dinámico,294000,5.0,3,,https://articulo.mercadolibre.com.co/mco-1385485926-kit-de-2-microfonos-shure-sv200-vocal-dinamico-_jm?searchvariation=177272649240
"Micrófono De Diadema Shure Sm31fh-tqg, Conector Tqg",565300,4.7,3,,https://articulo.mercadolibre.com.co/mco-619584839-microfono-de-diadema-shure-sm31fh-tqg-conector-tqg-_jm?searchvariation=84775456021
Kit Micrófono Shure Sm58 + Base Y Cable Proel,697000,4.8,6,,https://articulo.mercadolibre.com.co/mco-984519089-kit-microfono-shure-sm58-base-y-cable-proel-_jm?searchvariation=175439818169
Kit Microfono Shure Sm58-lc + Cable Proel Xlr Bulk250lu6,625000,5.0,6,,https://articulo.mercadolibre.com.co/mco-1390895036-kit-microfono-shure-sm58-lc-cable-proel-xlr-bulk250lu6-_jm?searchvariation=177479938823
Micrófono Shure Sm58 Dinámico Cardioide Para Voces,625000,4.9,71,Recomendado para  grabaciones. | Formato:de mano. | Cable de 0cm. | Conector/es de salida:xlr-3. | Frecuencia máxima: 15kHz. | Frecuencia mínima: 50Hz. | Siente la libertad y el dinamismo al grabar con tu micrófono de mano. | Incluye: 1 adaptador de soporte.,https://www.mercadolibre.com.co/microfono-shure-sm58-dinamico-cardioide-para-voces/p/mco23123485
Micrófono Dinámico Para Instrumentos Shure Sm57-lc,547200,5.0,9,,https://articulo.mercadolibre.com.co/mco-619584776-microfono-dinamico-para-instrumentos-shure-sm57-lc-_jm?searchvariation=83592058087
Micrófono Shure PG Alta PGA98H-TQG Condensador CardioideS,772000,5.0,1,Recomendado para  intrumentos viento-metal. | Formato:estudio. | Frecuencia máxima: 20kHz. | Frecuencia mínima: 60Hz. | Elemento indispensable para tu estudio de grabación.,https://www.mercadolibre.com.co/microfono-shure-pg-alta-pga98h-tqg-condensador-cardioides/p/mco7565583
Kit Microfono Sv200 Shure + Base Y Abrazadera Proel Lw Ms10,232100,5.0,1,,https://articulo.mercadolibre.com.co/mco-1998488896-kit-microfono-sv200-shure-base-y-abrazadera-proel-lw-ms10-_jm?searchvariation=179115671906
Micrófono Condensador Con Mic De Pinza Shure Pga98h-xlr,772000,5.0,8,,https://articulo.mercadolibre.com.co/mco-619584780-microfono-condensador-con-mic-de-pinza-shure-pga98h-xlr-_jm?searchvariation=84547437051
Kit De 4 Micrófonos Shure Sv200 Vocal Dinámico,588000,5.0,2,,https://articulo.mercadolibre.com.co/mco-1385575078-kit-de-4-microfonos-shure-sv200-vocal-dinamico-_jm?searchvariation=177272667366
Kit Micrófonos De Batería Shure Dmk57-52 Color Negro,469900,5.0,2,Recomendado para  bateria. | Incluye 4 micrófonos. | Formato:estudio. | Cable de 0cm. | Frecuencia máxima: 15kHz. | Frecuencia mínima: 10Hz. | Elemento indispensable para tu estudio de grabación. | Incluye: 3 monturas de batería.,https://www.mercadolibre.com.co/kit-microfonos-de-bateria-shure-dmk57-52-color-negro/p/mco20653520
Micrófono Vocal Shure Pga58-lc Dinámico Cardioide,335800,4.7,15,,https://articulo.mercadolibre.com.co/mco-619584805-microfono-vocal-shure-pga58-lc-dinamico-cardioide-_jm?searchvariation=85532829158
"Micrófono de mano profesional cardioide Shure Sm58 Lc, color negro",99990,4.9,71,Se recomienda para presentaciones. | Formato: portátil. | Conector (es) de salida: xlr-3. | Frecuencia mínima: 50 Hz. | Incluye: 1 adaptador de soporte. | La mejor calidad para tus transmisiones. | Alta resolución. | Frecuencia máxima: 15 kHz.,https://www.mercadolibre.com.co/microfono-de-mano-profesional-cardioide-shure-sm58-lc-color-negro/p/mco24139522
Micrófono Shure Sv200 Alambrico Sv-200 Original Estudio,152000,4.9,29,,https://articulo.mercadolibre.com.co/mco-563192413-microfono-shure-sv200-alambrico-sv-200-original-estudio-_jm?searchvariation=80929634790
Sistema De Micrófonos Inalámbricos Transmisor Receptor Bomge,124950,4.6,5,,https://articulo.mercadolibre.com.co/mco-1440145283-sistema-de-microfonos-inalambricos-transmisor-receptor-bomge-_jm?searchvariation=180771728556
Micrófono Inalámbrico Shure Blx288/sm58-h9 Receptor Doble,3721000,5.0,1,,https://articulo.mercadolibre.com.co/mco-619584661-microfono-inalambrico-shure-blx288sm58-h9-receptor-doble-_jm?searchvariation=83670404505
Micrófono Vocal Dinámico Shure Sv200,294000,5.0,2,,https://articulo.mercadolibre.com.co/mco-1998463054-microfono-vocal-dinamico-shure-sv200-_jm
Micrófono Shure Motiv MV7 Dinámico Unidireccional color negro,1966000,4.4,7,"Recomendado para   grabaciones. | Formato:de mesa. | Cable de 3m. | Conector/es de salida:3.5 mm. | Frecuencia máxima: 20kHz. | Frecuencia mínima: 20Hz. | Adaptable a cualquier medio donde se lo ubique. | Incluye: 1 cable micro-b a usb-a dato actual del producto: ""1 cable micro-b a usb-c.",https://www.mercadolibre.com.co/microfono-shure-motiv-mv7-dinamico-unidireccional-color-negro/p/mco16255476
